"ID_Site";"Code_Parcelle";"Programme";"Annee";"Protocole";"Code_Methode";"AB_tot";"BM_tot";"AB_EPI";"AB_EPA";"AB_ANS";"AB_END";"AB_GF_X";"BM_EPI";"BM_EPA";"BM_ANS";"BM_END";"BM_GF_X";"Div_Fonc";"AB_AD";"AB_JV";"AB_SA";"BM_AD";"BM_JV";"BM_SA";"AB_AD_EPI";"AB_AD_EPA";"AB_AD_ANS";"AB_AD_END";"Richesse";"Shannon";"Equitabilite";"AB_AAA";"AB_AB";"AB_ACCT";"AB_ACCX";"AB_ACU";"AB_AI";"AB_AM";"AB_ARR";"AB_AX";"AB_DM";"AB_DRR";"AB_DV";"AB_DX";"AB_EFX";"AB_LC";"AB_LRC";"AB_LT";"AB_LX_A";"AB_LX_E";"AB_MP";"AB_NCCT";"AB_NCM";"AB_NG";"AB_NLL";"AB_NN";"AB_NX_A";"AB_NX_N";"AB_OC";"AB_OX";"AB_X_E";"BM_AAA";"BM_AB";"BM_ACCT";"BM_ACCX";"BM_ACU";"BM_AI";"BM_AM";"BM_ARR";"BM_AX";"BM_DM";"BM_DRR";"BM_DV";"BM_DX";"BM_EFX";"BM_LC";"BM_LRC";"BM_LT";"BM_LX_A";"BM_LX_E";"BM_MP";"BM_NCCT";"BM_NCM";"BM_NG";"BM_NLL";"BM_NN";"BM_NX_A";"BM_NX_N";"BM_OC";"BM_OX";"BM_X_E";"Date_Prelevement";"Code_Postal";"Ville";"Departement";"Anc_Region";"Region";"Long";"Lat";"Categorie_Milieu_Niv1";"SousCategorie_Milieu_Niv2";"OS";"Ferti_";"w_sol_";"SableF";"SableG";"LimonF";"LimonG";"Argile";"Sables";"Limons";"Texture_GEPPA";"MO";"C_tot";"C_org";"C_org_ou_tot";"C.N";"N_tot";"N_org_ou_tot";"CaCO3_tot";"pH_eau";"pH_eau_ou_kcl";"Commentaire_META";"AB_ACPX";"AB_NCCR";"AB_X_N";"BM_ACPX";"BM_NCCR";"BM_X_N"
"TIDM_GEN_GC_506";"TIDM_GEN_GC_506";"Pro’Dij";"2023";"TB";"TB";43,75;7,1875;0;0;12,5;31,25;0;0;0;3,4625;3,725;0;0;12,5;6,25;25;1,60625;0,3375;5,24375;0;0;0;12,5;1;0;0;0;0;0;31,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,5;0;0;0;0;0;0;0;0;0;3,725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,4625;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,20667260372542;47,2678300270835;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"oui";42;124;342;211;281;166;553;NA;26,3;26,8149256706237;15,1749256706237;15,1749256706237;10,1;1,50954708456993;1,50954708456993;97;8,37;8,37;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_507";"TIDM_GEN_GC_507";"Pro’Dij";"2023";"TB";"TB";118,75;21,6375;0;0;31,25;87,5;0;0;0;10,30625;11,33125;0;2;62,5;50;6,25;7,95624999999999;12,8236111111111;0,857638888888888;0;0;0;62,5;1,25;0;NA;0;0;0;87,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,25;0;0;0;0;0;0;0;0;0;11,33125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,30625;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21157049393543;47,2702858378279;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;45;137;291;143;384;182;434;NA;78,7;55,9356164932251;45,4956164932251;45,4956164932251;11,3;4,02504801750183;4,02504801750183;87;8,18;8,18;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_508";"TIDM_GEN_GC_508";"Pro’Dij";"2023";"TB";"TB";143,75;30,6375;0;0;37,5;106,25;0;0;0;9,7125;20,925;0;6;56,25;56,25;31,25;10,285;15,9275;4,425;0;0;0;56,25;2;0,81;0,81;0;0;0;106,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,5;0;0;0;0;0;0;0;0;0;20,925;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,7125;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21362999949962;47,2697670029655;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;47;310;224;93;326;357;317;NA;46,2;72,0512533187866;26,6912533187866;26,6912533187866;8,93;2,98992395401;2,98992395401;378;8,22;8,22;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_516";"TIDM_GEN_GC_516";"Pro’Dij";"2023";"TB";"TB";206,25;24,15625;0;0;12,5;193,75;0;0;0;4,51875;19,6375;0;2;68,75;62,5;75;7,12837301587302;7,95337301587301;9,07450396825396;0;0;0;68,75;1,25;0;NA;0;0;0;193,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,5;0;0;0;0;0;0;0;0;0;19,6375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,51875;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,20994399086584;47,2675494114419;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;35;16;359;231;359;51;590;NA;26,8;17,4297499656677;15,5097499656677;15,5097499656677;9,16;1,69285833835601;1,69285833835601;16;7,84;7,84;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_517";"TIDM_GEN_GC_517";"Pro’Dij";"2023";"TB";"TB";393,75;47,0375;0;0;62,5;331,25;0;0;0;10,44375;36,59375;0;6;81,25;231,25;81,25;9,21310160427807;27,8597615864527;9,96463680926915;0;0;0;81,25;2;0,41;0,41;0;0;0;331,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62,5;0;0;0;0;0;0;0;0;0;36,59375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,44375;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,20895872635101;47,2649046617311;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;36;48;336;217;363;84;553;NA;29,9;24,0037751197814;17,2837751197814;17,2837751197814;9,4;1,83796271681785;1,83796271681785;56;8,11;8,11;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_518";"TIDM_GEN_GC_518";"Pro’Dij";"2023";"TB";"TB";206,25;39,725;0;0;37,5;168,75;0;0;0;17,8875;21,8375;0;2;137,5;43,75;25;21,4656498015873;12,5409474206349;5,71840277777777;0;0;6,25;131,25;2;0,92;0,92;0;0;0;162,5;0;0;6,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,5;0;0;0;0;0;0;0;0;0;21,1770833333334;0;0;0,66041666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,8875;0;0;0;0;0;0;"29/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21245680969797;47,2631348498879;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;32;9;329;224;406;41;553;NA;31,3;19,0541660785675;18,0941660785675;18,0941660785675;9,21;1,96551442146301;1,96551442146301;8;7,77;7,77;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_519";"TIDM_GEN_GC_519";"Pro’Dij";"2023";"TB";"TB";231,25;57,1875;0;0;75;156,25;0;0;0;36,50625;20,68125;0;6;75;81,25;75;10,8141666666667;24,4128472222222;21,9604861111111;0;0;0;75;2;1;1;0;0;0;156,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;20,68125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,50625;0;0;0;0;0;0;"28/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21432750005122;47,2672938372911;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;45;205;295;107;348;250;402;NA;55,4;68,8678216934204;32,0278216934204;32,0278216934204;9,2;3,48226934671401;3,48226934671401;307;8,19;8,19;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_520";"TIDM_GEN_GC_520";"Pro’Dij";"2023";"TB";"TB";6,25;0,35625;0;0;0;6,25;0;0;0;0;0,35625;0;2;0;0;6,25;0;0;0,35625;0;0;0;0;0,25;0;NA;0;0;0;6,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,35625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"29/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21786666611884;47,2691484999073;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"non";68;177;283;117;355;245;400;NA;58,1;62,1156358718872;33,5556358718872;33,5556358718872;9,29;3,61125022172927;3,61125022172927;238;8,16;8,16;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_521";"TIDM_GEN_GC_521";"Pro’Dij";"2023";"TB";"TB";100;8,04375;0;0;0;100;0;0;0;0;8,04375;0;2;6,25;56,25;37,5;0,591964285714285;3,51785714285714;3,93392857142857;0;0;0;6,25;1;0;NA;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,04375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"29/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21886116682223;47,2673936656359;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"non";62;341;285;100;212;403;385;NA;41,6;87,3921775817871;24,0321775817871;24,0321775817871;9,13;2,63315826654434;2,63315826654434;528;8,27;8,27;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_522";"TIDM_GEN_GC_522";"Pro’Dij";"2023";"TB";"TB";50;21,28125;0;0;31,25;18,75;0;0;0;19,71875;1,5625;0;6;12,5;37,5;0;1,04166666666667;20,2395833333333;0;0;0;0;12,5;1;0,81;0,81;0;0;0;18,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31,25;0;0;0;0;0;0;0;0;0;1,5625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19,71875;0;0;0;0;0;0;"29/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21683749960843;47,2654975013516;"2_Agricole";"21_Agricole ouvert";"OS_214";"non";NA;67;429;201;79;224;496;280;NA;46,7;90,4855442047119;27,0055442047119;27,0055442047119;8,95;3,01598101854324;3,01598101854324;529;8,28;8,28;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_523";"TIDM_GEN_GC_523";"Pro’Dij";"2023";"TB";"TB";6,25;0,13125;0;0;0;6,25;0;0;0;0;0,13125;0;0;0;6,25;0;0;0,13125;0;0;0;0;0;0,25;0;0;0;0;0;6,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"29/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,21878711238058;47,2611448686797;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"non";60;217;298;102;323;277;400;NA;58,2;77,1824789047241;33,6224789047241;33,6224789047241;8,59;3,91538381576538;3,91538381576538;363;8,14;8,14;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_524";"TIDM_GEN_GC_524";"Pro’Dij";"2023";"TB";"TB";187,5;26,39375;0;0;25;162,5;0;0;0;15,6;10,79375;0;6;31,25;125;31,25;2,10438446969697;8,77819128787878;15,5111742424242;0;0;0;31,25;2;0,65;0,65;0;0;0;162,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;10,79375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,6;0;0;0;0;0;0;"29/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,2210903334142;47,2700881665338;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";"oui";42;61;327;197;373;103;524;NA;46,6;36,5629363059997;26,9629363059997;26,9629363059997;9,22;2,92315870523452;2,92315870523452;80;8,12;8,12;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_525";"TIDM_GEN_GC_525";"Pro’Dij";"2023";"TB";"TB";462,5;52,9125;0;0;25;437,5;0;0;0;15,08125;37,83125;0;6;37,5;131,25;293,75;14,0452672101449;10,9020055804703;27,9652272093848;0;0;12,5;25;2;0,37;0,37;0;0;0;437,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;37,83125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,08125;0;0;0;0;0;0;"30/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,22305071642091;47,2685240227499;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;40;115;310;195;340;155;505;NA;37,6;33,267011642456;21,747011642456;21,747011642456;9,16;2,37407594919204;2,37407594919204;96;8,14;8,14;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_526";"TIDM_GEN_GC_526";"Pro’Dij";"2023";"TB";"TB";100;28,38125;0;0;6,25;93,75;0;0;0;14,31875;14,0625;0;2;12,5;31,25;56,25;2,09270833333333;4,70208333333333;21,5864583333333;0;0;0;12,5;1,25;0;NA;0;0;0;93,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,25;0;0;0;0;0;0;0;0;0;14,0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,31875;0;0;0;0;0;0;"03/04/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,22288200011081;47,2665108299639;"2_Agricole";"21_Agricole ouvert";"OS_214";"oui";NA;48;225;250;143;334;273;393;NA;35,1;51,2389326095581;20,2789326095581;20,2789326095581;8,75;2,31764286756515;2,31764286756515;258;8,23;8,23;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
"TIDM_GEN_GC_528";"TIDM_GEN_GC_528";"Pro’Dij";"2023";"TB";"TB";331,25;137,03125;0;6,25;181,25;143,75;0;0;1,6125;117,15625;18,2625;0;9;118,75;150;62,5;24,5400978708791;64,215051510989;48,2761006181319;0;0;18,75;100;2,25;1,3;0,82;0;0;0;143,75;0;0;0;0;0;0;0;0;0;0;0;0;0;6,25;0;0;0;0;0;181,25;0;0;0;0;0;0;0;0;0;18,2625;0;0;0;0;0;0;0;0;0;0;0;0;0;1,6125;0;0;0;0;0;117,15625;0;0;0;0;0;0;"30/03/2023";NA;NA;"21";"Bourgogne";"Bourgogne-Franche-Comté";5,22159046949297;47,2650756551301;"2_Agricole";"21_Agricole ouvert";"OS_214";"non";NA;50;171;322;102;355;221;424;NA;51,4;64,1240072250366;29,6840072250366;29,6840072250366;8,49;3,49429249763488;3,49429249763488;287;8,2;8,2;"Limons, argiles, sables, C, N et MO en g/kg";0;0;0;0;0;0
